User ID,Name,Linked Accounts,Money Sources,Total Credit Amount,Transfer Accounts,Transaction Amount,Employment Status,Education Level,Marital Status,Fraud Indicator
30,Name 30,1,['2228501053805692'],62014.59,['4035066207581762'],32828.7,Student,Bachelor,Married,0
31,Name 31,1,['2668464600584129'],258992.04,['4475562424361761'],147170.31,Employed,Bachelor,Single,0
32,Name 32,2,['2291470274001006'],290397.84,['4427541161831987'],150932.16,Student,Master,Single,1
33,Name 33,2,"['2564529869836256', '5549552669040815']",21094.59,['4851954447770108'],17490.42,Student,High School,Married,0
34,Name 34,1,"['2589591330088421', '2281607525187553']",10490.47,['4770785935551222'],8135.82,Student,Bachelor,Married,0
35,Name 35,2,['2720561963629775'],218728.74,['4600932472800846'],115207.56,Unemployed,Bachelor,Single,1
36,Name 36,2,['2676255263724170'],188499.33,['4252553421042701'],37761.08,Unemployed,Master,Married,1
37,Name 37,1,['2253012299529300'],201066.72,['4653567175082338'],150000.0,Employed,Master,Single,0
38,Name 38,1,"['2708551920854521', '2704117014231572', '2717414408429192']",81004.34,['4504210970972343'],20920.39,Student,Bachelor,Divorced,0
39,Name 39,2,['2261688295397667'],200256.82,['4197653920604809'],163416.96,Unemployed,Bachelor,Single,1
40,Name 40,2,"['5212090365338528', '2483876608840711', '2514513300499230']",82267.5,['4291248471351358'],69197.93,Student,Master,Married,0
41,Name 41,2,"['5344540801365304', '2253140357992050']",270190.35,['4771235526701439'],110062.91,Student,Master,Divorced,0
42,Name 42,1,['5190307186059034'],216928.01,['4857266140623722'],198363.63,Employed,Bachelor,Married,1
43,Name 43,1,"['2226413280983221', '2230937973205264', '5338257285500227']",128203.82,['4535613927760823'],46854.33,Student,High School,Divorced,0
44,Name 44,1,"['2236300627196310', '5294840170122660']",228507.79,['4251389367535668'],122301.26,Student,Bachelor,Married,0
45,Name 45,2,"['2274942370144451', '5322599357582551']",107477.57,['4370229623632147'],35686.4,Employed,High School,Married,0
46,Name 46,1,"['2258070258278744', '5337783496688817', '2470002253362894']",134297.7,['4314890140070571'],54810.26,Unemployed,Master,Married,0
47,Name 47,2,"['2226942339406024', '2644756118703177']",150000.0,"['4274274925460455', '4440505696930047', '4449486778387474']",94730.29,Unemployed,Bachelor,Divorced,0
48,Name 48,3,['2708948036220771'],228727.63,['4101578489519954'],49474.7,Employed,PhD,Divorced,1
49,Name 49,1,"['2262427107967188', '5329045311801276']",232400.45,['4426555387311971'],185534.7,Employed,Master,Single,0
50,Name 50,2,"['2262927324778235', '2720826884423420']",125029.79,"['4058220256707388', '4257259474526468', '4716251871593543']",94083.86,Employed,Master,Divorced,0
51,Name 51,1,['2524104078200741'],110689.09,['4655750405085705'],66941.29,Unemployed,PhD,Single,0
52,Name 52,2,"['2575164989932483', '2230493549587355']",215119.51,['4578930857156378'],209177.69,Student,PhD,Married,0
53,Name 53,2,['2277967368051779'],250912.0,['4715735588984889'],99133.01,Student,PhD,Married,0
54,Name 54,3,['2414885234431930'],151389.48,['4945570664275544'],64147.78,Unemployed,High School,Divorced,1
55,Name 55,1,"['2226834238898130', '2598205020285853']",151687.58,['4698802112198328'],108717.87,Employed,High School,Married,0
56,Name 56,1,"['5331594385824488', '2253581630470994']",147245.54,['4337505623837212'],117317.64,Student,PhD,Married,0
57,Name 57,1,['2408936320403735'],101508.9,['4583785835716385'],76347.97,Student,PhD,Married,0
58,Name 58,2,['2508818924067885'],95911.47,['4138960604079691'],73507.97,Employed,High School,Divorced,0
59,Name 59,1,"['2273693335224158', '2411365632194029']",150000.0,['4166390431348710'],87445.71,Employed,Master,Married,0
60,Name 60,1,['5254725378310589'],177336.14,['4673349070083935'],150543.07,Employed,Bachelor,Single,1
61,Name 61,2,['2669390146530517'],234951.13,['4912154377621101'],102880.99,Unemployed,Master,Divorced,1
62,Name 62,1,['2421635520632365'],191399.36,"['4557185420677328', '4765633581636821', '4817717474262015']",75007.91,Employed,High School,Married,0
63,Name 63,2,['2238866926631031'],93550.42,['4856353537715070'],24037.2,Unemployed,Bachelor,Married,0
64,Name 64,1,"['5346916431001600', '2248902277189960']",249723.04,['4706219486021657'],111398.81,Student,Master,Married,0
65,Name 65,2,"['2402479876537438', '2584276107714970']",155136.93,"['4809890253835440', '4305908087102552', '4104269677921981']",35974.49,Unemployed,Master,Single,0
66,Name 66,3,['5428469469520936'],299876.0,['4843726570821150'],69626.81,Unemployed,PhD,Married,1
67,Name 67,2,"['2596937761173912', '2720330994718753']",291026.02,['4447623462639719'],132954.25,Employed,Master,Married,0
68,Name 68,2,"['2431845974745906', '2712543941978441']",245934.15,['4187765639567424'],111067.24,Unemployed,High School,Divorced,0
69,Name 69,2,['5342604397548533'],160347.42,['4716940142224371'],150000.0,Unemployed,Bachelor,Married,1
70,Name 70,2,['5508114968312970'],215837.02,"['4837749910351850', '4954024731352736', '4602545727747493']",113615.0,Employed,PhD,Single,0
71,Name 71,1,"['2290410966878411', '5544503083402599']",157572.88,['4010232468493977'],155082.55,Student,Bachelor,Married,0
72,Name 72,1,"['2637693880880348', '2247907564123508']",234075.79,['4959803997264775'],194323.62,Employed,Master,Divorced,0
73,Name 73,2,"['5154732719513252', '2269390199627487']",166188.37,['4803956349095582'],105487.08,Unemployed,Bachelor,Divorced,0
74,Name 74,2,"['2253759693010952', '2285271423237816']",22657.72,['4155223899089455'],19239.28,Student,Bachelor,Married,0
75,Name 75,1,"['2572421998108577', '2264070024732497']",262213.09,['4009212479812822'],162771.63,Student,Bachelor,Married,0
76,Name 76,1,"['2234289428609385', '5504534623738513', '2302017660486023']",236642.33,['4133572197592967'],150000.0,Unemployed,PhD,Married,1
77,Name 77,2,['2640862158815725'],189063.24,['4445322553539472'],81278.89,Employed,PhD,Single,0
78,Name 78,1,"['2223106745220238', '5429656426790417']",271992.98,['4861136268049188'],118233.78,Employed,Bachelor,Divorced,0
79,Name 79,1,['2401981830211480'],186752.62,['4113604309743826'],111703.05,Employed,PhD,Divorced,0
80,Name 80,2,"['5262450524844569', '2240297028511218']",271350.73,['4315731416427419'],150161.11,Student,Master,Divorced,0
81,Name 81,2,"['2261292603506901', '2286466331734750']",67772.93,['4148068002185991'],26415.49,Student,Master,Divorced,0
82,Name 82,2,['2450433897749382'],274078.92,['4317148311074378'],252796.13,Employed,Master,Single,1
83,Name 83,2,['2720833272222232'],192191.95,['4292477829145647'],85937.92,Student,Master,Divorced,0
84,Name 84,2,"['5120242547559700', '2710632512914398']",60935.62,['4281698941237151'],59545.78,Unemployed,Bachelor,Married,0
85,Name 85,2,"['2265697326143905', '2720855887553123']",226502.21,['4859284667634590'],219778.41,Employed,PhD,Divorced,0
86,Name 86,2,"['5287119325794353', '2702972918371144', '2720198877732070']",165605.97,['4720434600754230'],122196.11,Student,Master,Single,0
87,Name 87,2,"['2703204461093639', '2306983822778944', '2281902090782759']",266428.11,['4693838891161611'],150000.0,Unemployed,Master,Divorced,1
88,Name 88,1,"['2234597160441852', '5591210872931372', '5292329852675379']",20791.52,['4325929250708955'],8063.78,Unemployed,PhD,Married,0
89,Name 89,2,['2454799295372498'],266770.0,['4325256004395115'],184744.03,Unemployed,High School,Divorced,1
90,Name 90,2,['5454627547546994'],258080.56,['4209626991645295'],164028.96,Unemployed,High School,Married,1
91,Name 91,1,"['2257956935030758', '5462467629582280']",36585.29,['4431405291999698'],150000.0,Unemployed,Bachelor,Single,0
92,Name 92,1,"['2241836730038033', '2299780463458102', '2308986707182247']",231895.64,['4822601900566921'],207721.99,Employed,High School,Married,1
93,Name 93,1,"['2702465333637330', '2720260723409236']",241569.01,['4751525341366143'],73785.46,Employed,Master,Single,0
94,Name 94,1,"['2243323592917727', '5415712000951846']",162564.8,['4079700021715605'],133695.51,Employed,PhD,Divorced,0
95,Name 95,1,"['2259205488595728', '5456585521143956']",142832.33,"['4926515430296178', '4834370624498961', '4426323722199324']",83297.75,Student,High School,Married,0
96,Name 96,2,"['2293876050711444', '2702095895057690', '2700918145318673']",33429.24,"['4590476160276655', '4574587447963210', '4237770150467475']",14040.71,Student,Master,Married,0
97,Name 97,2,"['5336536429059345', '2720066096611153']",38761.75,['4139626842365122'],27936.89,Student,Bachelor,Married,0
98,Name 98,1,"['2284998026340578', '2506266418114718']",125631.75,['4057051512090629'],56536.66,Employed,PhD,Single,0
99,Name 99,3,"['2268162217017459', '2239717517925762', '2284393131609804']",135244.19,['4844545811792999'],150000.0,Student,Master,Divorced,0
100,Name 100,2,"['2603775281196174', '2244083572462651']",261746.72,['4315096470156043'],178073.64,Student,Bachelor,Single,0
101,Name 101,1,"['5591726771656471', '2227157625386835']",255158.29,['4684638005782000'],168220.76,Student,High School,Divorced,0
102,Name 102,2,"['5465074845961988', '5305751155922031', '2381288554522686']",89248.41,['4028429992970872'],42912.31,Employed,PhD,Single,0
103,Name 103,1,"['5303998131819391', '5497091751914373', '2638959896026740']",163839.98,['4218488668449777'],53399.94,Unemployed,High School,Single,1
104,Name 104,1,"['2291753221209404', '2278548529717331']",138502.76,['4566630144298215'],73593.02,Student,High School,Married,0
105,Name 105,2,"['5457400112337521', '2448037767788704']",162810.89,['4522776837728506'],160784.96,Employed,Master,Single,0
106,Name 106,2,['5141458725127962'],12241.67,['4520838519060673'],6171.83,Student,Master,Single,0
107,Name 107,1,"['2662560707335400', '2238191379518993']",277137.11,['4684538293948380'],182555.69,Unemployed,Master,Single,0
108,Name 108,2,"['2401886125980477', '5526800527639600']",251287.51,"['4484516213909627', '4044205763071854', '4963925133018411']",220024.2,Student,PhD,Divorced,0
109,Name 109,3,"['2235427112342900', '2225532009286938']",74255.9,"['4078417830040254', '4720300270672194', '4542984027201617']",52467.71,Employed,Master,Married,0
110,Name 110,1,['2275968410564324'],84230.78,['4149080889534604'],150000.0,Student,PhD,Married,0
111,Name 111,2,"['2408862448246352', '5135652184639321']",260631.59,['4919532998975357'],66364.36,Unemployed,Master,Divorced,0
112,Name 112,3,"['5474801000940343', '2720985573191498']",150000.0,['4932089547591345'],64449.24,Employed,PhD,Married,0
113,Name 113,1,['2230874215356714'],103242.76,['4950931781320070'],25758.96,Unemployed,High School,Divorced,0
114,Name 114,1,"['2565243021945299', '2720275422379571']",297385.95,['4045144605721310'],146051.7,Unemployed,PhD,Married,0
115,Name 115,1,"['2228998765403610', '2267841933776792']",150000.0,['4985249187017185'],64097.64,Student,Bachelor,Married,0
116,Name 116,3,"['2372698726180281', '2443063760901396']",99967.2,['4046524777674679'],30306.19,Employed,Master,Divorced,0
117,Name 117,2,['5118912437754694'],197347.2,['4304025416906248'],96715.55,Employed,Master,Married,0
118,Name 118,1,"['2338098519749470', '2248872149287682']",254884.23,['4030519801388146'],221263.95,Employed,Master,Divorced,0
119,Name 119,2,['2250592210962220'],251090.07,['4246107897665336'],83470.21,Unemployed,Master,Divorced,1
120,Name 120,2,"['2225218710586283', '5164718033940725']",77860.85,['4821053694602192'],64429.56,Employed,Master,Divorced,0
121,Name 121,2,"['2300155908817781', '2286644740929696']",235655.97,['4297602074857357'],77683.17,Student,Bachelor,Married,0
122,Name 122,3,"['2229392451720561', '2660594114363046']",170816.82,['4187949246313485'],150478.15,Employed,Master,Married,0
123,Name 123,1,['5278659931482019'],284459.85,['4978338125179287'],150000.0,Employed,PhD,Divorced,0
124,Name 124,2,"['2237240119945031', '2273199729944120']",75116.24,"['4313060487477349', '4298473366478024', '4596760560036874']",57971.97,Employed,Bachelor,Single,0
125,Name 125,2,['2586363203644612'],230063.93,['4371844140780184'],212736.89,Employed,Bachelor,Divorced,1
126,Name 126,2,"['2714285775583875', '2265317910830128']",78915.67,['4465458974505562'],56121.78,Employed,High School,Married,0
127,Name 127,1,['2248356732847482'],218377.86,"['4296987441427112', '4730298508408647', '4466681223803715']",105313.34,Employed,High School,Divorced,0
128,Name 128,1,['2710491813444146'],123231.58,['4532092721849418'],121362.35,Employed,Master,Single,0
129,Name 129,1,"['5208712780732292', '2626333094786410']",48688.78,['4836254729815402'],34775.3,Student,PhD,Divorced,0
130,Name 130,1,['2720887121984046'],217653.07,"['4636324659076770', '4329312013970368', '4506458122870216']",78632.13,Employed,Master,Married,0
131,Name 131,2,['2246264569756853'],92972.16,"['4819788197445599', '4860292834398228', '4914578748740455']",67366.24,Unemployed,PhD,Married,0
132,Name 132,2,['5183990226297547'],153898.94,['4869165860052490'],94712.59,Student,PhD,Single,0
133,Name 133,1,"['2284139218992583', '2236053358458173']",39753.39,['4132459088403572'],22132.01,Employed,PhD,Married,0
134,Name 134,2,"['2720624075736084', '5320602545503323']",89621.05,['4065865014962781'],23304.42,Unemployed,Bachelor,Single,0
135,Name 135,2,"['2223216492051163', '2299173751176414', '2712528614334121']",29497.68,['4997061463549278'],14934.19,Student,Bachelor,Divorced,0
136,Name 136,2,['2260868793943862'],176437.32,['4543396364057982'],126972.87,Employed,High School,Divorced,0
137,Name 137,2,['2292609479701105'],85915.24,['4922169539284646'],85665.41,Unemployed,Bachelor,Single,0
138,Name 138,1,"['2720047135832034', '5208981083760736']",299206.1,['4460622113045997'],295992.55,Student,High School,Divorced,0
139,Name 139,2,['2248235826049546'],240171.95,['4175429313623771'],86650.27,Unemployed,High School,Married,1
140,Name 140,2,['2245178550885599'],187465.03,['4429886665096944'],187404.3,Student,PhD,Married,1
141,Name 141,1,"['2548626664955876', '2420173961555003']",196278.19,['4539198597027022'],93352.23,Student,Bachelor,Single,0
142,Name 142,1,['5441872769451681'],98196.12,['4175284433174316'],37351.47,Student,Master,Single,0
143,Name 143,2,"['2278442846558133', '2236507496985603']",188184.2,['4938788553257238'],126732.04,Employed,Master,Divorced,0
144,Name 144,3,['2296311876170663'],23183.92,['4806131820899798'],16713.38,Unemployed,High School,Married,1
145,Name 145,2,"['2711601455420118', '5152264325388368']",150054.0,['4773478952691876'],150000.0,Employed,Bachelor,Married,0
146,Name 146,2,['2243995255689311'],100648.92,['4705791407132574'],89438.83,Employed,Master,Divorced,0
147,Name 147,2,['5563824026841545'],87566.79,"['4364768000428965', '4632775325463474', '4126707990671092']",37843.7,Student,PhD,Single,0
148,Name 148,1,"['5351462989835471', '5244462355021319']",65051.89,['4771077400664824'],37304.14,Unemployed,High School,Single,0
149,Name 149,2,['2712273216931111'],179169.79,['4808424381392933'],121479.81,Student,PhD,Married,0
150,Name 150,1,"['2478670921838909', '5582162615024620']",220977.34,['4492299329430362'],115011.04,Employed,Master,Divorced,0
151,Name 151,2,"['2389864436003426', '2714569671371240']",249340.28,['4396505997681541'],150000.0,Unemployed,Master,Divorced,0
152,Name 152,1,"['2583787146347417', '2709112510551230']",155022.59,['4098561103546350'],72307.58,Unemployed,Bachelor,Divorced,0
153,Name 153,1,"['2281889181676745', '2267564664677027']",57125.59,['4535222267985188'],25100.27,Student,PhD,Divorced,0
154,Name 154,2,"['2254342178716689', '2221949212030107']",106059.48,['4520989137484835'],47317.62,Student,High School,Divorced,0
155,Name 155,1,"['2719224431868235', '5427136500917915']",59448.5,['4402085294430381'],51894.6,Student,Bachelor,Single,0
156,Name 156,1,"['2221659075758393', '2254323569904530']",100970.82,['4019738942105285'],53343.08,Unemployed,High School,Divorced,0
157,Name 157,1,"['2258632070076687', '2294598350422139']",162388.37,['4168582255622356'],150972.36,Unemployed,Master,Divorced,0
158,Name 158,1,"['2275639751832667', '2297323765609254']",75211.44,['4088342859543236'],32431.42,Student,PhD,Married,0
159,Name 159,2,"['5409241804560726', '2260235380454267']",269770.53,['4409406446525790'],220794.08,Employed,Master,Divorced,0
160,Name 160,3,"['2243348342093826', '2295884196683087']",226728.16,['4891396173492675'],94524.37,Unemployed,Bachelor,Single,1
161,Name 161,1,['2309925469423562'],195003.93,['4671933864787298'],150910.9,Employed,High School,Divorced,1
162,Name 162,1,"['2297244630771956', '2712816305000899']",148460.07,['4378895560117664'],67836.48,Employed,Bachelor,Divorced,0
163,Name 163,1,['2706625317990023'],131186.64,['4997164862302396'],30051.17,Unemployed,Bachelor,Divorced,0
164,Name 164,2,['5398357606392671'],96533.74,['4187286184442665'],45181.04,Student,PhD,Single,0
165,Name 165,2,['2703708080510252'],105898.39,['4596486069609827'],150000.0,Unemployed,Master,Divorced,0
166,Name 166,1,"['2266832189263248', '2263788498819364']",249827.05,"['4335187330416721', '4287416735547774', '4807588805594463']",183723.98,Employed,PhD,Married,0
167,Name 167,1,['5264264139077830'],139553.3,['4114982555498181'],92938.12,Unemployed,Master,Divorced,0
168,Name 168,1,['2343994272601614'],127570.82,['4279159471280099'],97316.84,Employed,Master,Married,0
169,Name 169,1,"['2233338752725662', '5467029959409545']",54423.81,['4469439274748454'],28990.28,Unemployed,Bachelor,Single,0
170,Name 170,1,"['2554478922141076', '2479411040138783']",32649.79,"['4084813773078859', '4549684815842977', '4763815480381011']",20834.46,Student,Bachelor,Single,0
171,Name 171,2,['2628141522655067'],217906.21,['4431074596311825'],150000.0,Employed,PhD,Married,0
172,Name 172,2,"['2485852981319050', '2276439497323215']",219751.22,['4873972882776996'],175063.4,Employed,PhD,Married,0
173,Name 173,1,['2239787570628421'],295979.8,['4548540585489426'],101812.63,Student,PhD,Married,0
174,Name 174,2,"['2275688463619557', '2700115669223674']",118937.2,['4593320270659318'],75101.73,Unemployed,High School,Single,0
175,Name 175,2,['2720281750186299'],252098.27,['4118213563918655'],143797.64,Unemployed,PhD,Single,1
176,Name 176,2,['2298471131134157'],281849.0,['4610557188887056'],238890.29,Employed,Bachelor,Single,1
177,Name 177,3,"['2272272238067567', '2257785311279394']",183357.62,"['4550361920976976', '4573437354324280', '4018704685132101']",145298.6,Employed,Bachelor,Single,0
178,Name 178,2,"['5499515176452047', '2648874484914827']",177467.7,['4889067541002678'],69127.79,Student,Bachelor,Married,0
179,Name 179,1,['5569631590403873'],191538.01,['4815535684280425'],187292.03,Student,PhD,Divorced,1
180,Name 180,2,"['5543298921189406', '2720633040078647']",119173.45,['4122849700890408'],104809.8,Student,Bachelor,Married,0
181,Name 181,2,['2327945646880508'],122641.52,['4350350783811455'],32286.16,Unemployed,High School,Divorced,0
182,Name 182,1,"['5569349497137706', '2277478094588860', '5253214378135206']",119378.71,"['4092214776568949', '4711452078582934', '4037859400815245']",30826.86,Student,Bachelor,Married,0
183,Name 183,2,['5431582960976616'],71424.25,['4696181346644270'],56961.08,Employed,Bachelor,Married,0
184,Name 184,2,"['2243416703840992', '2258493435842176']",145212.63,['4374591423189552'],70822.48,Unemployed,High School,Divorced,0
185,Name 185,2,"['2248680290004545', '2517385389971406']",150000.0,['4452894514833855'],150000.0,Student,PhD,Married,0
186,Name 186,2,['5448918463314114'],154797.43,['4159968349974351'],62826.3,Student,PhD,Married,0
187,Name 187,2,"['2279764343378973', '2294716401243078']",63373.85,['4290009596350316'],61205.8,Employed,High School,Single,0
188,Name 188,1,"['5146492589565996', '2340802354931705', '2291013379367565']",53798.6,['4191909517351485'],13361.43,Student,PhD,Divorced,0
189,Name 189,1,"['5111959788746669', '2286423910230627']",13436.78,['4987616272184351'],150000.0,Student,PhD,Single,0
190,Name 190,1,['5597029538385656'],65660.3,['4568055957273790'],27174.16,Unemployed,PhD,Married,0
191,Name 191,1,['5344929057127437'],199583.36,['4853228677642883'],54845.59,Student,PhD,Single,0
192,Name 192,1,"['2408131986152301', '2268752998245046', '5509561196659862']",255145.64,['4266385421644499'],250518.16,Student,High School,Single,1
193,Name 193,2,['5329188044645360'],208484.34,['4395976409657505'],151461.24,Unemployed,High School,Single,1
194,Name 194,2,"['2697191775173868', '2708272408355358']",57110.57,['4129569407212218'],29202.08,Unemployed,PhD,Divorced,0
195,Name 195,1,"['2720435907576303', '2344609866951832']",25571.97,['4008037729104030'],12082.1,Student,PhD,Married,0
196,Name 196,3,"['2720375222820608', '2663781709088925']",152275.0,['4272388930832920'],83062.72,Student,PhD,Single,0
197,Name 197,2,['2720842716651898'],33791.02,['4575537917295873'],23894.33,Unemployed,Master,Single,0
198,Name 198,3,"['2263809722729995', '2625483721443504']",114376.07,['4019974506805024'],40021.72,Student,PhD,Single,0
199,Name 199,3,['5528549111588354'],183108.12,['4709697256298703'],38429.36,Employed,Bachelor,Divorced,1
200,Name 200,2,"['2379449531617502', '5130160895546731']",97328.07,"['4814514240782993', '4029718308273974', '4664453687308023']",53310.58,Unemployed,High School,Married,0
201,Name 201,1,"['2697154881385610', '5377385520775403']",182203.86,['4061926189096914'],80848.66,Unemployed,PhD,Married,0
202,Name 202,2,['2297379142293410'],97126.23,['4490994594481338'],56644.77,Unemployed,Master,Married,0
203,Name 203,2,['5568908959505360'],104507.01,['4497061223769492'],51418.75,Employed,Bachelor,Divorced,0
204,Name 204,1,"['5262394531696432', '2299066892377232']",283462.73,['4277175811906203'],245202.47,Unemployed,PhD,Single,0
205,Name 205,1,['5185032943237809'],217418.55,"['4251743071045499', '4432210932280725', '4439489416365458']",215801.06,Unemployed,PhD,Divorced,1
206,Name 206,3,['5546971622145896'],41717.13,['4095759713605334'],13894.76,Student,PhD,Married,0
207,Name 207,2,['5260823124217570'],85034.13,['4398002258273364'],56497.92,Unemployed,Master,Married,0
208,Name 208,1,['2244839093847393'],150003.61,['4087952027733393'],40303.55,Student,Bachelor,Married,0
209,Name 209,2,"['2373918113049983', '2337160122301494']",150000.0,['4611232453924302'],150000.0,Employed,High School,Single,0
210,Name 210,1,['5116614905624035'],279677.51,['4055949525144279'],179421.02,Unemployed,PhD,Single,1
211,Name 211,1,"['2719595008397074', '2710462640225115']",124718.89,['4553403453728155'],69800.18,Employed,Bachelor,Single,0
212,Name 212,1,['2239379780610702'],116079.98,['4448027171341063'],85500.0,Student,Master,Divorced,0
213,Name 213,2,"['5334590346444488', '2345424353571856']",112075.63,['4225565141346828'],82809.44,Student,High School,Divorced,0
214,Name 214,1,['5187561002329071'],63082.91,['4341281760196309'],33723.57,Unemployed,PhD,Single,0
215,Name 215,1,"['2400904299369467', '2291303938788611']",93762.08,['4670070134111289'],65214.15,Employed,PhD,Single,0
216,Name 216,2,"['2720101307457284', '2288416016042662']",128648.96,['4004678990248156'],71410.64,Student,High School,Single,0
217,Name 217,2,"['2720408204539555', '2270076964322936']",58780.6,['4621885496120473'],47773.09,Employed,High School,Married,0
218,Name 218,2,['2248655632844154'],230401.2,['4783848892270825'],124445.16,Student,Bachelor,Married,0
219,Name 219,1,"['2633080526078129', '5598241784739762']",260037.89,['4373638074120062'],76427.43,Employed,Master,Divorced,0
220,Name 220,2,['5411065398813050'],237606.3,['4704089094185588'],155883.86,Student,Bachelor,Married,1
221,Name 221,2,"['2706235478421626', '2718867872202784']",286195.23,['4819701561426848'],243879.76,Unemployed,High School,Married,0
222,Name 222,1,['2707989019283999'],82406.4,['4391765611001691'],66681.52,Unemployed,Bachelor,Divorced,0
223,Name 223,2,['2720314794736546'],193752.05,"['4824672545907380', '4422023874869849', '4690996169312317']",118671.34,Unemployed,PhD,Married,1
224,Name 224,1,['2288169193240514'],221970.26,['4075292424436231'],150000.0,Student,PhD,Single,0
225,Name 225,1,"['5489311804045029', '5375725275961454']",250219.65,['4516580767067788'],163371.83,Unemployed,High School,Single,0
226,Name 226,3,"['2223004973083065', '2713984896523510']",14721.59,['4271684256334264'],8320.86,Unemployed,Bachelor,Divorced,1
227,Name 227,2,"['5490462272018498', '5513096612003696']",37068.6,"['4096261988038407', '4397402860443127', '4267052821530590']",27119.65,Employed,PhD,Divorced,0
228,Name 228,1,['5312026310590598'],214072.43,['4605648560101476'],65540.38,Student,PhD,Single,0
229,Name 229,3,['2256024248125368'],296564.92,['4060570475347853'],76117.14,Student,High School,Single,1
230,Name 230,2,['5455960847810946'],196057.08,"['4927507782898825', '4730999150739607', '4089099422670065']",127561.2,Employed,PhD,Married,0
231,Name 231,1,"['2279310783143103', '5127440445539674']",259389.13,['4090875106812587'],208018.8,Unemployed,Master,Married,0
232,Name 232,1,['2520230977830082'],81968.44,['4204956872091953'],35077.3,Employed,Master,Single,0
233,Name 233,1,"['5247541249107470', '2357198150805478']",197389.23,['4252605934377576'],77272.53,Employed,PhD,Divorced,0
234,Name 234,1,"['2720425543556793', '5510078833719865']",48275.04,['4863112094626059'],23767.25,Unemployed,High School,Single,0
235,Name 235,1,['5440029296313154'],277547.99,['4183606114378040'],119120.89,Unemployed,PhD,Divorced,1
236,Name 236,1,"['2256377470674846', '2636779816707175']",32916.25,['4679977276466126'],10674.8,Student,High School,Married,0
